step,action,psnr_value,mse_value,ssim_value,rank,action
1,335719,5.684410704826259,0.2703333387849604,0.5042269112675981,1,[21 12  3 19]
2,79981,5.851270875937322,0.26014386924756144,0.47182952925762806,2,[ 5  2 24  6]
3,228646,5.863307471604635,0.2594238832125923,0.40095033898647015,3,[14 15 20 21]
4,390270,5.980892528553509,0.2526557870316693,0.38812297970518317,4,[24 24 10 20]
5,321958,6.0717356365507005,0.24742912096020545,0.3734898052560313,5,[20 15  3  8]
6,115742,6.245511489837044,0.23773578149628996,0.3670211692556172,6,[ 7 10  4 17]
7,219479,6.246118949686622,0.23769778804638123,0.36200220669971644,7,[14  1  4  4]
8,247200,6.24623509810278,0.23769450464998648,0.3620242056425106,8,[15 20 13  0]
9,153376,6.363015551835446,0.23140103656133307,0.30118370895414137,9,[ 9 20 10  1]
10,149118,6.400597873393783,0.22942804772510977,0.2464480657448569,10,[ 9 13 14 18]
11,95603,6.517025510635656,0.22335958374004086,0.2593487259386376,11,[ 6  2 24  3]
12,329823,6.518265849870451,0.22332530315187318,0.25906871576852614,12,[21  2 17 23]
13,167889,6.671505561372345,0.21560594223446633,0.24058758226087623,13,[10 18 15 14]
14,87113,6.689733054523835,0.21487502436211517,0.24060515092789903,14,[ 5 14  9 13]
15,242802,6.707746153524199,0.21408187332041176,0.2433595761831028,15,[15 13 12  2]
16,158942,6.716354374289382,0.21364910002860105,0.24331831853684527,16,[10  4  7 17]
17,9547,6.747027682986374,0.21205095355430098,0.24235761193741218,17,[ 0 15  6 22]
18,212247,6.752545093825967,0.2119012583228331,0.2425645665787651,18,[13 14 14 22]
19,340717,6.823812543259811,0.20875562810861187,0.24458946698417208,19,[21 20  3 17]
20,80874,6.868908217938254,0.20646887088362506,0.24639345690461759,20,[ 5  4  9 24]
21,92659,6.869406287133355,0.20644468801525773,0.22988768656516953,21,[ 5 23  6  9]
22,7408,6.884100754445283,0.2060141681337895,0.21468198427577345,22,[ 0 11 21  8]
23,227291,6.9712737789459815,0.20211889955937354,0.22142712105121998,23,[14 13 16 16]
24,181307,7.020790398620463,0.20007160503584467,0.22209694134482344,24,[11 15  2  7]
25,172475,7.02243692387675,0.19979239359666076,0.22252522441564415,25,[11  0 24  0]
26,356602,7.022958038300277,0.19978036642126784,0.22254425608229897,26,[22 20 14  2]
27,206494,7.087568315711168,0.19722090671551812,0.21814532400488518,27,[13  5  9 19]
28,225668,7.1304417959008415,0.19502270208339179,0.22007854869845342,28,[14 11  1 18]
29,121375,7.199660637137825,0.19213318141331426,0.23037449013128736,29,[ 7 19  5  0]
30,195368,7.218004623318754,0.1915504815750104,0.201609640843673,30,[12 12 14 18]
31,329412,7.267014403016327,0.18937532399266202,0.20257394070363285,31,[21  2  1 12]
32,182898,7.292673787210852,0.18890270566393277,0.1994741014507782,32,[11 17 15 23]
