step,action,psnr_value,mse_value,ssim_value,rank,action
1,53922,3.693268907821006,0.4275764705706344,0.30084387595349305,1,[ 3 11  6 22]
2,33201,3.7422987833381995,0.4227764756098094,0.22710070664428042,2,[2 3 3 1]
3,294175,3.7642686798897227,0.4206431552872306,0.22442460745424067,3,[18 20 17  0]
4,203156,3.8355912405826595,0.4137902964926777,0.18142702969244817,4,[13  0  1  6]
5,251075,3.9004366339406977,0.4076579018997606,0.17179145936111584,5,[16  1 18  0]
6,111718,3.914232511150768,0.40636506879525297,0.17095939808018187,6,[ 7  3 18 18]
7,244071,4.135032555000383,0.3865454069293538,0.1820428702113113,7,[15 15 12 21]
8,323110,4.176351888334905,0.38288826185695934,0.14873722733979067,8,[20 16 24 10]
9,16639,4.270783245880182,0.37465969132472127,0.14869889019433974,9,[ 1  1 15 14]
10,238917,4.443944896163395,0.36095634444355956,0.16325759019631034,10,[15  7  6 17]
11,371138,4.444721306498502,0.36087278101379533,0.16258233732827435,11,[23 18 20 13]
12,364112,4.517528643387433,0.35545924465893275,0.16260054214885067,12,[23  7 14 12]
13,143492,4.523497554005446,0.3549220359713764,0.15845982628130934,13,[ 9  4 14 17]
14,51930,4.6698583779127,0.34376400982294825,0.16739988514280355,14,[3 8 2 5]
15,60334,4.671666468148452,0.3436837708519857,0.16765307200491897,15,[ 3 21 13  9]
16,170632,4.673798187739989,0.3436621463396078,0.16779887828135032,16,[10 23  0  7]
17,161513,4.693185030538953,0.34209741710076663,0.13576591574493063,17,[10  8 10 13]
18,222609,4.764839242356979,0.33684228227222257,0.1412443843792963,18,[14  6  4  9]
19,261658,4.803604197918653,0.33428324100235857,0.1438971144284416,19,[16 18 16  8]
20,23432,4.892137822222314,0.3275360294483934,0.14252978349766773,20,[ 1 12 12  7]
21,161826,4.920241664366992,0.32513569312643303,0.14234723627084858,21,[10  8 23  1]
22,300348,4.920157540459523,0.32513350026743076,0.14190853683762564,22,[19  5 13 23]
23,80326,4.94599247364616,0.32330155911193265,0.11830401089499996,23,[ 5  3 13  1]
24,221203,5.050765502992968,0.3162915539583209,0.12056686477260355,24,[14  3 23  3]
25,87720,5.069244243191148,0.315195262241255,0.11783116700240301,25,[ 5 15  8 20]
26,10321,5.074244297091544,0.31492576411675893,0.11865727086068699,26,[ 0 16 12 21]
27,82529,5.077479316407696,0.31478076037025776,0.11892092917062332,27,[5 7 1 4]
28,24466,5.116911590747014,0.3120810979921831,0.11891567585961678,28,[ 1 14  3 16]
29,288986,5.147087693654822,0.30994796402757696,0.1205975408464659,29,[18 12  9 11]
30,277987,5.228366416421302,0.3047151953212885,0.12147588983706951,30,[17 19 19 12]
31,81719,5.3281330928354675,0.2979285877509374,0.12221626250461717,31,[ 5  5 18 19]
32,244373,5.4064570302615085,0.29198388084724125,0.13205355935666832,32,[15 15 24 23]
33,310033,5.4641726201474325,0.28800968451052905,0.12395038006623177,33,[19 21  1  8]
34,236175,5.523713645119979,0.2842134430291297,0.11929606056953033,34,[15  2 22  0]
35,53227,5.6148093765384965,0.27848206403517234,0.12588705124609667,35,[ 3 10  4  2]
36,142063,5.63783759328958,0.2769764443475094,0.12540342476410135,36,[ 9  2  7 13]
37,334513,5.739045106444088,0.27114728797085447,0.13307476654573788,37,[21 10  5 13]
38,174948,5.8631051112499355,0.2639013592363234,0.13578922953489164,38,[11  4 22 23]
39,185918,5.949739781950772,0.2587462610860144,0.1252874191217597,39,[11 22 11 18]
40,18856,5.95665495107654,0.2583696415369515,0.12649113583011426,40,[1 5 4 6]
41,318087,5.97062292087147,0.2578041386897444,0.12738141458193944,41,[20  8 23 12]
42,179633,5.973151052426539,0.25756219336307395,0.12724370853368744,42,[11 12 10  8]
43,112103,5.973582745049557,0.257527137853786,0.12751687832324274,43,[7 4 9 3]
44,245809,6.0081608261389885,0.2552793768542716,0.12692414651303457,44,[15 18  7  9]
45,23150,6.092827271908866,0.2507402310502204,0.13643872948953256,45,[ 1 12  1  0]
46,221791,6.093349670715358,0.25060282364169434,0.13611617840634793,46,[14  4 21 16]
47,287659,6.151496305565627,0.2472136096046283,0.13765879516016366,47,[18 10  6  9]
48,171578,6.162432809129608,0.24680295495012297,0.13696990060572253,48,[10 24 13  3]
49,185023,6.200845993687988,0.2450590661579007,0.12415554401296042,49,[11 21  0 23]
50,157907,6.2038022566872915,0.24496441015011897,0.12433269992644487,50,[10  2 16  7]
51,7176,6.244720261326279,0.24254029227917323,0.1251837785404099,51,[ 0 11 12  1]
52,22123,6.257713261676898,0.24165834296569264,0.12598926950464048,52,[ 1 10  9 23]
53,6913,6.30374519631038,0.23926483342435176,0.12738203963377648,53,[ 0 11  1 13]
54,353195,6.304377692782249,0.23924396791091884,0.12745042741084672,54,[22 15  2 20]
55,17769,6.354773862841365,0.2372565774384112,0.12817982157827162,55,[ 1  3 10 19]
56,269519,6.362650624706233,0.23687992506955907,0.12633412224769122,56,[17  6  5 19]
57,187807,6.378635570754337,0.23620958888938495,0.12736030300838527,57,[12  0 12  7]
58,334800,6.386660972169995,0.2356689362944152,0.12565358466754112,58,[21 10 17  0]
59,266259,6.397145450436627,0.23549091709950618,0.12926424288238816,59,[17  1  0  9]
60,304223,6.505878613819604,0.23026705481771814,0.13150804789553472,60,[19 11 18 23]
61,159753,6.537761311509449,0.2285908248813828,0.12241590646908689,61,[10  5 15  3]
62,247957,6.642992083727984,0.22329544717459912,0.12675456097701357,62,[15 21 18  7]
63,48986,6.653565338029108,0.22270429858509933,0.1318005933746324,63,[ 3  3  9 11]
64,6502,6.694637687655431,0.2205199498725602,0.13236771915074566,64,[ 0 10 10  2]
65,131790,6.696564416362815,0.2203838201787913,0.13261381767407407,65,[ 8 10 21 15]
66,380789,6.757948946870917,0.2178977420120839,0.13602600597075942,66,[24  9  6 14]
67,346307,6.759060975753593,0.21789458637882936,0.13612295774405417,67,[22  4  2  7]
68,154703,6.841101893490011,0.21433792832660792,0.1435420679173894,68,[ 9 22 13  3]
69,250578,6.844501667635948,0.21424266212938836,0.14475843664651641,69,[16  0 23  3]
70,342373,6.85729503810358,0.2137032431235773,0.14503875741579586,70,[21 22 19 23]
71,123290,6.860210078152734,0.2136240636259431,0.1449952717235643,71,[ 7 22  6 15]
72,47717,6.863605624768337,0.2135228820376964,0.1457058444590219,72,[ 3  1  8 17]
73,246485,6.887675868401098,0.21278329482420621,0.14563539959800587,73,[15 19  9 10]
74,61714,6.947257868803561,0.21014062668574993,0.15367697334575764,74,[ 3 23 18 14]
